조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2014.01.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.01.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.01.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.01.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.02.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.02.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.02.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.02.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.03.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.03.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.03.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.03.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.03.31,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.04.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.04.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.04.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.04.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.05.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.05.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.05.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.05.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.06.02,,,,,,,13.0,,,,,,,,운문호(취수탑2)
2014.06.09,,,,,,,20.0,,,,,,,,운문호(취수탑2)
2014.06.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.06.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.06.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.07.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.07.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.07.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.07.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.08.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.08.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.08.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.08.25,,,,,,,40.0,,,,,,,,운문호(취수탑2)
2014.09.01,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.09.11,,,,,,,323.0,,,,,,,,운문호(취수탑2)
2014.09.15,,,,,,,119.0,,,,,,,,운문호(취수탑2)
2014.09.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.09.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.10.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.10.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.10.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.10.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.11.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.11.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.11.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.11.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.12.01,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.12.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.12.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.12.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2014.12.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.01.05,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.01.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.01.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.01.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.02.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.02.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.02.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.02.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.03.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.03.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.03.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.03.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.03.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.04.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.04.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.04.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.04.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.05.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.05.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.05.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.05.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.06.01,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.06.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.06.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
2015.06.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,운문호(취수탑2)
